,index,Borough,Distance,ID,Latitude,Longitude,Name,Ratings,Label
228,39,Queens,5628,578d4c73498e2228d036480a,40.7476913788483,-73.76203200096157,Ultimate Fitness Zone,7.365217391304349,15
229,40,Queens,6758,573bac2a498ee5be2bc81869,40.748234101010084,-73.87992293529081,Planet Fitness,8.5,14
230,41,Queens,2267,4f747250e4b03eeeef6c726e,40.71825800634728,-73.83941085820037,Rayality Fitness,7.365217391304349,2
231,42,Queens,5522,509bf02de4b08f007b2f9536,40.667257,-73.794965,Fitness Center - Marriott,7.365217391304349,6
232,43,Queens,5547,5853c916f5bfab4aa5689183,40.76149591445305,-73.78931879997253,"Fitness ""R"" Us",7.365217391304349,6
233,44,Queens,3771,5744dcbbcd10a7f2cb9f6bf5,40.72709,-73.854645,Kings Combat Fitness,7.365217391304349,14
234,45,Queens,2683,51dc90b77dd2598bf2804584,40.69153972571677,-73.82037878036499,New York Striking Crew NYC's Best Personal Fitness Trainers,7.365217391304349,2
235,46,Queens,2631,4c8f8a40d68c6dcbb91d05a2,40.73805428308711,-73.81960911793796,Fitzgerald Gym,7.3,2
236,47,Queens,6571,4ceba7fb595cb1f7e444da14,40.68337,-73.87866,Fitness Together,7.365217391304349,14
237,48,Queens,7066,4f31441be4b0acb1eba8b13e,40.74509714916564,-73.88662725958102,Fitness Center @ Elmhurst Hospital,7.365217391304349,14
238,49,Queens,3239,4cf6d68855e13704bc0ccfb6,40.71043792354613,-73.85081184790921,Sedona Fitness,6.5,2
